commodity_group,year,fob_value,importers
Sea cucumbers, prepared or preserved,2018,0,Nigeria
Sea cucumbers, prepared or preserved,2019,0,Nigeria
Sea cucumbers, prepared or preserved,2020,6000,Nigeria
Sea cucumbers, prepared or preserved,2021,0,Nigeria
Sea cucumbers, prepared or preserved,2022,0,Nigeria
Sea cucumbers, prepared or preserved,2018,65000,Norway
Sea cucumbers, prepared or preserved,2019,18000,Norway
Sea cucumbers, prepared or preserved,2020,0,Norway
Sea cucumbers, prepared or preserved,2021,0,Norway
Sea cucumbers, prepared or preserved,2022,0,Norway
Sea cucumbers, prepared or preserved,2018,0,Kenya
Sea cucumbers, prepared or preserved,2019,0,Kenya
Sea cucumbers, prepared or preserved,2020,0,Kenya
Sea cucumbers, prepared or preserved,2021,1000,Kenya
Sea cucumbers, prepared or preserved,2022,0,Kenya
Sea cucumbers, prepared or preserved,2018,3343000,Taiwan
Sea cucumbers, prepared or preserved,2019,3637000,Taiwan
Sea cucumbers, prepared or preserved,2020,45000,Taiwan
Sea cucumbers, prepared or preserved,2021,17000,Taiwan
Sea cucumbers, prepared or preserved,2022,0,Taiwan
Sea cucumbers, prepared or preserved,2018,1000,Latvia
Sea cucumbers, prepared or preserved,2019,0,Latvia
Sea cucumbers, prepared or preserved,2020,1000,Latvia
Sea cucumbers, prepared or preserved,2021,1000,Latvia
Sea cucumbers, prepared or preserved,2022,0,Latvia
Sea cucumbers, prepared or preserved,2018,0,Bahrain
Sea cucumbers, prepared or preserved,2019,0,Bahrain
Sea cucumbers, prepared or preserved,2020,2000,Bahrain
Sea cucumbers, prepared or preserved,2021,0,Bahrain
Sea cucumbers, prepared or preserved,2022,0,Bahrain
Sea cucumbers, prepared or preserved,2018,0,Barbados
Sea cucumbers, prepared or preserved,2019,0,Barbados
Sea cucumbers, prepared or preserved,2020,1000,Barbados
Sea cucumbers, prepared or preserved,2021,0,Barbados
Sea cucumbers, prepared or preserved,2022,0,Barbados
Sea cucumbers, prepared or preserved,2018,79000,Bulgaria
Sea cucumbers, prepared or preserved,2019,0,Bulgaria
Sea cucumbers, prepared or preserved,2020,0,Bulgaria
Sea cucumbers, prepared or preserved,2021,0,Bulgaria
Sea cucumbers, prepared or preserved,2022,0,Bulgaria
Sea cucumbers, prepared or preserved,2018,0,Angola
Sea cucumbers, prepared or preserved,2019,0,Angola
Sea cucumbers, prepared or preserved,2020,0,Angola
Sea cucumbers, prepared or preserved,2021,1000,Angola
Sea cucumbers, prepared or preserved,2022,0,Angola
Sea cucumbers, prepared or preserved,2018,1000,Denmark
Sea cucumbers, prepared or preserved,2019,2000,Denmark
Sea cucumbers, prepared or preserved,2020,0,Denmark
Sea cucumbers, prepared or preserved,2021,0,Denmark
Sea cucumbers, prepared or preserved,2022,0,Denmark
Sea cucumbers, prepared or preserved,2018,0,Ethiopia
Sea cucumbers, prepared or preserved,2019,0,Ethiopia
Sea cucumbers, prepared or preserved,2020,0,Ethiopia
Sea cucumbers, prepared or preserved,2021,3000,Ethiopia
Sea cucumbers, prepared or preserved,2022,0,Ethiopia
Sea cucumbers, prepared or preserved,2018,0,Estonia
Sea cucumbers, prepared or preserved,2019,0,Estonia
Sea cucumbers, prepared or preserved,2020,0,Estonia
Sea cucumbers, prepared or preserved,2021,3000,Estonia
Sea cucumbers, prepared or preserved,2022,0,Estonia
Sea cucumbers, prepared or preserved,2018,105000,Finland
Sea cucumbers, prepared or preserved,2019,6000,Finland
Sea cucumbers, prepared or preserved,2020,0,Finland
Sea cucumbers, prepared or preserved,2021,0,Finland
Sea cucumbers, prepared or preserved,2022,0,Finland
Sea cucumbers, prepared or preserved,2018,1000,Cuba
Sea cucumbers, prepared or preserved,2019,,Cuba
Sea cucumbers, prepared or preserved,2020,,Cuba
Sea cucumbers, prepared or preserved,2021,,Cuba
Sea cucumbers, prepared or preserved,2022,,Cuba
Sea cucumbers, prepared or preserved,2018,2000,Kuwait
Sea cucumbers, prepared or preserved,2019,0,Kuwait
Sea cucumbers, prepared or preserved,2020,0,Kuwait
Sea cucumbers, prepared or preserved,2021,0,Kuwait
Sea cucumbers, prepared or preserved,2022,,Kuwait
Sea cucumbers, prepared or preserved,2018,,Iraq
Sea cucumbers, prepared or preserved,2019,6000,Iraq
Sea cucumbers, prepared or preserved,2020,,Iraq
Sea cucumbers, prepared or preserved,2021,3000,Iraq
Sea cucumbers, prepared or preserved,2022,,Iraq
Sea cucumbers, prepared or preserved,2018,1000,Northern Mariana Islands
Sea cucumbers, prepared or preserved,2019,2000,Northern Mariana Islands
Sea cucumbers, prepared or preserved,2020,,Northern Mariana Islands
Sea cucumbers, prepared or preserved,2021,,Northern Mariana Islands
Sea cucumbers, prepared or preserved,2022,,Northern Mariana Islands
Sea cucumbers, prepared or preserved,2018,,Tonga
Sea cucumbers, prepared or preserved,2019,3000,Tonga
Sea cucumbers, prepared or preserved,2020,,Tonga
Sea cucumbers, prepared or preserved,2021,,Tonga
Sea cucumbers, prepared or preserved,2022,,Tonga
